"0075A047","MUSIC FROM OUTER SPACE. CD 02","STAR INC.","FERNSEHMELODIEN","367E","4er BOX","BATTLESTAR GALACTICA","TOUR TO ETERNETY","THE EMPIRE STRIKES BACK","AURORA","BROKEN WINGS","RADIO ACTIVITY","FIREBIRD","LEARNING TIME","THE GOLDEN BUG","THE DARK CRYSTAL","SATURN - THE BRINGER OF OLD AGE","THE THIRD WAVE","SECOND RENDEZ-VOUZ","RETURN OF THE JEDI","","","","","","","","","","","","","","","",""
"001C8C3D","MUSIC FROM OUTER SPACE. CD 03","STAR INC.","FERNSEHMELODIEN","831E","4er BOX","STAR WARS","MERCURY - THE WINGED MESSENGER","THE FORCE","AQUARIUS","PIPELINE","BLADE RUNNER","PARANOIMIA","BACK TO THE FUTURE","NOTHING TO FEAR","ETERNAL FLAME","NEPTUNUS - THE MYSTIC","THE ALIEN","ELECTICITY","BIG GREEN ESPACE","","","","","","","","","","","","","","","",""
"0075844E","MUSIC FROM OUTER SPACE. CD 04","STAR INC.","FERNSEHMELODIEN","5ACE","4er BOX","CLOSE ENCOUNTERS OF THE THIRD KIND","JUPITER - THE BRINGER OF JOLLITY","MAGIC FLY","SPACE OPERA","I ROBOT","ALPHA","SPACE SHUTTLE","MISSING","BARBARELLA","EQUINOXE PART 4","VENUS - THE BRINGER OF PEACE","2001","EVE OF THE WAR","PULSTAR","","","","","","","","","","","","","","","",""
"00234143","never stop that feeling","MARK' OH","Techno","4A2","STANDARD","Oh (Intro)","Love Song (Long Version)","Dreaming Of You (U.R.R.Mix)","Tears Don't Lie (Long Version)","You Want More? (U.R.R.Mix)","Let's Do It Again","Can You Feel The Rhythm? (U.R.R.Mix)","Friendship (U.R.R.Mix)","How Do I Love You? (U.R.R.Mix)","Randy (Never Stop That Feeling - Original Mix)","","","","","","","","","","","","","","","","","","","",""
"8081383D","NO LIMITS!","2 unlimited","Dance Floor","51","STANDARD","No Limit","Tribal Dance","Mysterious","Faces","Maximum Overdrive","The Power Age","Break The Chain","Kiss Me Bliss Me","Throw The Groove Down","R.U.O.K","Let The Beat Control Your Body","Invite Me To Trance","Where Are You Now","Shelter For A Rainy Day","","","","","","","","","","","","","","","",""
"00A05571","OMEN iii","MAGIC AFFAIR","","132","SINGLE","Single Version","Maxi Version","Instrumental Version","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00F08711","PAIN","Fun Factory","Dance Floor","2345","MAXI-SINGLE","Video: Take your Chance","PAIN (feel the pain mix)","PAIN (feel the radio vocal mix)","PAIN (sequential one club mix)","fun factory's slam (instrumental)","","","","","","","","","","","","","","","","","","","","","","","","",""
"00BD1E0A","PC Player plus CD-ROM 04/95","DMV Verlag","Computer","23","CD-ROM","!!! DATENSPUR !!! nicht abspielen","INFERNO - Titelsong","INFERNO - Spielmusik","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0014CB2C","PC Player plus CD-ROM 05/95","DMV Verlag","Computer","345","CD-ROM","!!! DATENSPUR !!! nicht abspielen","The Art of Entertainment","Rede von Pinball Wizard 2000","Volkslied","Rede (Scherze)","","","","","","","","","","","","","","","","","","","","","","","","",""
"004A0E10","PC Player plus CD-ROM 06/95","DMV Verlag","Computer","324","CD-ROM","!!! Datenspur !!! nicht abspielen","Street Fighter II - Music","Street Fighter II - Intro Music","Street Fighter II - Level Music","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80A24129","REAL THINGS","2 UNLIMITED","Dance Floor","21","STANDARD","The Real Thing","Do What I Like","Here I Go","Burning Like Fire","Info Superhighway","Hypnotised","Turning Into Something Wild","Escape In Music","Sensuality","No One","Force To Force","What's Mine Is Mine","Nothing Like The Rain","","","","","","","","","","","","","","","","",""
"0018CB71","rMB - LOVe iS an OCean","rMB","Rave","132","MAXI-SINGLE","LOVe iS an OCean","MatiSSe","LOVe iS an OCean (ShOrtMiX)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80F05C0C","SHP der Fernsehmelodien. CD 01","","FERNSEHMELODIEN","189BDEGHJ","DOPPEL","Die Schwarzwaldklinik","Traumschiff","Kir Royal","Dornenvîgel","Bonanza","Dallas","Denver Clan (Dynasty)","Magnum","Kojak","Monaco Franz","Tatort","Liebling Kreuzberg","Der Alte","Derrick","Diese Drombuschs","Unsere schînsten Jahre","Ein Fall fÅr Zwei","Ich heirate eine Familie","Der Fahnder","Lindenstra·e","","","","","","","","","",""
"00A08C10","SHP der Fernsehmelodien. CD 02","","FERNSEHMELODIEN","78CDHKL","DOPPEL","You Never Walk Alone (Freunde fÅrs Leben)","Das Erbe der Guldenburgs","Lorentz & Sîhne","Die Wicherts von nebenan","Der Bastian","M-A-S-H","Miami Vice","Quincy","Charlie's Angels","The Forsyte Saga","The Muppet Show","Knight Rider","The 'A' Team","Paul Temple","Hawaii 5-0","The High Chapparal","Simon & Simon","Starsky & Hutch","Canon","Raumpatrouille Orion","Eurovisions-Melodie","","","","","","","","",""
"007C1600","SPARK TO A FLAME","Chris de Burgh","Pop","6AG","STANDARD","This Waiting Heart","Don't Pay The Ferryman","Fire On The Water","Sailing Away","The Lady In Red","Borderline","Say Goodbye To It All","One Word (Straight To The Heart)","A Spaceman Came Travelling","Ship To Shore","Missing You","Diamond In The Dark","Tender Hands","The Getaway","Where Peaceful Waters Flow","High On Emotion","","","","","","","","","","","","","",""
"C0994064","THE prodigy","THE prodigy","","583","ALBUM","INTRO","BREAK & ENTER","THEIR LAW (FEATURING POP WILL EAT ITSELF)","FULL THROTTLE","VOODOO PEOPLE","SPEEDWAY (THEME FROM FASTLANE)","THE HEAT (THE ENERGY)","POISON","NO GOOD (START THE DANCE)","ONE LOVE (EDIT)","3 KILOS","SKYLINED","CLAUSTROPHOBIC STING","","","","","","","","","","","","","","","","",""
"2053BF2D","Thunderdome IV. CD 01","","Techno","1BI","DOPPEL","Noise is the Message Remix","Silke(The Speedfreak Remix)","Rotterdam Mix","Trioler Kaboemsch","Help Germany(Ware House E.P.)","The Place to BE","Summer","Weekend","Eyloco Remix","10 Seconds to Terminate Live","Zimboculture","Red Poison Part 1","Rave City","Demilitarized Zone","Ein bisschen Frieden","Fucking Hostile","Red Poison Part 3","Edit Madness","Blood of an English Muffin(M. Steenbergen Remix)","","","","","","","","","","",""
"00439456","Thunderdome IV. CD 02","","Techno","127CD","DOPPEL","Welcome to the Thunderdome","Party Children","A Night in Boston","Spirits of Soul","100% Effective","About us","The Dream Theme","D-Leria","Monological Destruction","Marsh Mellow","Yvette","The End of the Beginning","Live in Tilburg! Team Spirit","","","","","","","","","","","","","","","","",""
"00686100","VOODOO PEOPLE","THE prodigy","","2143","MAXI-SINGLE","VOODOO PEOPLE (EDIT)","VOODOO PEOPLE (DUST BROTHERS REMIX)","GOA (THE HEAT THE ENERGY PART 2)","VOODOO PEOPLE (ORIGINAL MIX)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"008C1106","WESTBAMs BOSTICH","HANDS ON YELLO","Rave","312","SINGLE","(MACHINE MIX)","(RUSH PUSH MIX)","(VIDEO CUT)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EOF"
